format_version	1
model_id	Qwen/Qwen3-30B-A3B
revision	ad44e777bcd18fa416d9da3bd8f70d33ebb85d39
root_manifest_sha256	f133d733612840ad691d637732d4ef2de1e0242c4bb1d92521b49dfcfb1b8cd2
payload	dense/dense-f32.bin	6164373504	bfad7fdc0f8611537ca5751f8e7140c35cf72bb4e67934b02d99711c89640893
tensor	model.layers.42.self_attn.k_proj.weight	5323232768	4194304	512,2048
tensor	model.layers.42.self_attn.v_proj.weight	5394536448	4194304	512,2048
tensor	model.layers.42.self_attn.o_proj.weight	5327427072	33554432	2048,4096
tensor	model.layers.42.self_attn.q_norm.weight	5360981504	512	128
tensor	model.layers.42.self_attn.k_norm.weight	5323232256	512	128
tensor	model.layers.42.post_attention_layernorm.weight	5323224064	8192	2048
tensor	model.layers.42.mlp.gate.weight	5322175488	1048576	128,2048
tensor	model.layers.43.input_layernorm.weight	5398730752	8192	2048
tensor	model.layers.43.self_attn.q_proj.weight	5437545472	33554432	4096,2048
tensor	model.layers.43.self_attn.k_proj.weight	5399796224	4194304	512,2048
tensor	model.layers.43.self_attn.v_proj.weight	5471099904	4194304	512,2048
tensor	model.layers.43.self_attn.o_proj.weight	5403990528	33554432	2048,4096
tensor	model.layers.43.self_attn.q_norm.weight	5437544960	512	128
tensor	model.layers.43.self_attn.k_norm.weight	5399795712	512	128
tensor	model.layers.43.post_attention_layernorm.weight	5399787520	8192	2048
tensor	model.layers.43.mlp.gate.weight	5398738944	1048576	128,2048
tensor	model.layers.44.input_layernorm.weight	5475294208	8192	2048
tensor	model.layers.44.self_attn.q_proj.weight	5514108928	33554432	4096,2048
tensor	model.layers.44.self_attn.k_proj.weight	5476359680	4194304	512,2048
tensor	model.layers.44.self_attn.v_proj.weight	5547663360	4194304	512,2048
tensor	model.layers.44.self_attn.o_proj.weight	5480553984	33554432	2048,4096
tensor	model.layers.44.self_attn.q_norm.weight	5514108416	512	128
tensor	model.layers.44.self_attn.k_norm.weight	5476359168	512	128
tensor	model.layers.44.post_attention_layernorm.weight	5476350976	8192	2048
tensor	model.layers.44.mlp.gate.weight	5475302400	1048576	128,2048
tensor	model.layers.45.input_layernorm.weight	5551857664	8192	2048
tensor	model.layers.45.self_attn.q_proj.weight	5590672384	33554432	4096,2048
tensor	model.layers.45.self_attn.k_proj.weight	5552923136	4194304	512,2048
tensor	model.layers.45.self_attn.v_proj.weight	5624226816	4194304	512,2048
tensor	model.layers.45.self_attn.o_proj.weight	5557117440	33554432	2048,4096
tensor	model.layers.45.self_attn.q_norm.weight	5590671872	512	128
tensor	model.layers.45.self_attn.k_norm.weight	5552922624	512	128
tensor	model.layers.45.post_attention_layernorm.weight	5552914432	8192	2048
tensor	model.layers.45.mlp.gate.weight	5551865856	1048576	128,2048
tensor	model.layers.46.input_layernorm.weight	5628421120	8192	2048
tensor	model.layers.46.self_attn.q_proj.weight	5667235840	33554432	4096,2048
tensor	model.layers.46.self_attn.k_proj.weight	5629486592	4194304	512,2048
tensor	model.layers.46.self_attn.v_proj.weight	5700790272	4194304	512,2048
tensor	model.layers.46.self_attn.o_proj.weight	5633680896	33554432	2048,4096
tensor	model.layers.46.self_attn.q_norm.weight	5667235328	512	128
tensor	model.layers.46.self_attn.k_norm.weight	5629486080	512	128
tensor	model.layers.46.post_attention_layernorm.weight	5629477888	8192	2048
tensor	model.layers.46.mlp.gate.weight	5628429312	1048576	128,2048
tensor	model.layers.47.input_layernorm.weight	5704984576	8192	2048
tensor	model.layers.47.self_attn.q_proj.weight	5743799296	33554432	4096,2048
tensor	model.layers.47.self_attn.k_proj.weight	5706050048	4194304	512,2048
tensor	model.layers.47.self_attn.v_proj.weight	5777353728	4194304	512,2048
tensor	model.layers.47.self_attn.o_proj.weight	5710244352	33554432	2048,4096
tensor	model.layers.47.self_attn.q_norm.weight	5743798784	512	128
tensor	model.layers.47.self_attn.k_norm.weight	5706049536	512	128
tensor	model.layers.47.post_attention_layernorm.weight	5706041344	8192	2048
tensor	model.layers.47.mlp.gate.weight	5704992768	1048576	128,2048
